ticker,market,name,source,added_date
2330.TW,TW,台積電,tw50_moneydj_0050_20260531,2011-06-13
2454.TW,TW,聯發科,tw50_moneydj_0050_20260531,2011-06-13
2308.TW,TW,台達電,tw50_moneydj_0050_20260531,2011-06-13
2317.TW,TW,鴻海,tw50_moneydj_0050_20260531,2011-06-13
3711.TW,TW,日月光投控,tw50_moneydj_0050_20260531,2011-06-13
2303.TW,TW,聯電,tw50_moneydj_0050_20260531,2011-06-13
2383.TW,TW,台光電,tw50_moneydj_0050_20260531,2011-06-13
3037.TW,TW,欣興,tw50_moneydj_0050_20260531,2011-06-13
2345.TW,TW,智邦,tw50_moneydj_0050_20260531,2011-06-13
2327.TW,TW,國巨,tw50_moneydj_0050_20260531,2011-06-13
2891.TW,TW,中信金,tw50_moneydj_0050_20260531,2011-06-13
2360.TW,TW,致茂,tw50_moneydj_0050_20260531,2011-06-13
2881.TW,TW,富邦金,tw50_moneydj_0050_20260531,2011-06-13
2382.TW,TW,廣達,tw50_moneydj_0050_20260531,2011-06-13
3017.TW,TW,奇鋐,tw50_moneydj_0050_20260531,2011-06-13
2882.TW,TW,國泰金,tw50_moneydj_0050_20260531,2011-06-13
2885.TW,TW,元大金,tw50_moneydj_0050_20260531,2011-06-13
6669.TW,TW,緯穎,tw50_moneydj_0050_20260531,2017-11-13
2887.TW,TW,台新新光金,tw50_moneydj_0050_20260531,2011-06-13
2412.TW,TW,中華電,tw50_moneydj_0050_20260531,2011-06-13
2357.TW,TW,華碩,tw50_moneydj_0050_20260531,2011-06-13
2344.TW,TW,華邦電,tw50_moneydj_0050_20260531,2011-06-13
1303.TW,TW,南亞,tw50_moneydj_0050_20260531,2011-06-13
3231.TW,TW,緯創,tw50_moneydj_0050_20260531,2011-06-13
7769.TW,TW,鴻勁,tw50_moneydj_0050_20260531,2024-11-01
2886.TW,TW,兆豐金,tw50_moneydj_0050_20260531,2011-06-13
2884.TW,TW,玉山金,tw50_moneydj_0050_20260531,2011-06-13
2301.TW,TW,光寶科,tw50_moneydj_0050_20260531,2011-06-13
2368.TW,TW,金像電,tw50_moneydj_0050_20260531,2011-06-13
2408.TW,TW,南亞科,tw50_moneydj_0050_20260531,2011-06-13
2890.TW,TW,永豐金,tw50_moneydj_0050_20260531,2011-06-13
2883.TW,TW,凱基金,tw50_moneydj_0050_20260531,2011-06-13
2449.TW,TW,京元電子,tw50_moneydj_0050_20260531,2011-06-13
1216.TW,TW,統一,tw50_moneydj_0050_20260531,2011-06-13
3661.TW,TW,世芯-KY,tw50_moneydj_0050_20260531,2012-10-05
3008.TW,TW,大立光,tw50_moneydj_0050_20260531,2011-06-13
2892.TW,TW,第一金,tw50_moneydj_0050_20260531,2011-06-13
3653.TW,TW,健策,tw50_moneydj_0050_20260531,2011-06-13
2059.TW,TW,川湖,tw50_moneydj_0050_20260531,2011-06-13
2880.TW,TW,華南金,tw50_moneydj_0050_20260531,2011-06-13
5880.TW,TW,合庫金,tw50_moneydj_0050_20260531,2011-06-13
2603.TW,TW,長榮,tw50_moneydj_0050_20260531,2011-06-13
2395.TW,TW,研華,tw50_moneydj_0050_20260531,2011-06-13
2002.TW,TW,中鋼,tw50_moneydj_0050_20260531,2011-06-13
1301.TW,TW,台塑,tw50_moneydj_0050_20260531,2011-06-13
4904.TW,TW,遠傳,tw50_moneydj_0050_20260531,2011-06-13
3045.TW,TW,台灣大,tw50_moneydj_0050_20260531,2011-06-13
2207.TW,TW,和泰車,tw50_moneydj_0050_20260531,2011-06-13
6919.TW,TW,康霈,tw50_moneydj_0050_20260531,2022-12-26
6505.TW,TW,台塑化,tw50_moneydj_0050_20260531,2011-06-13
3443.TW,TW,創意,tw100_moneydj_0051_20260531,2011-06-13
4958.TW,TW,臻鼎-KY,tw100_moneydj_0051_20260531,2011-12-26
3481.TW,TW,群創,tw100_moneydj_0051_20260531,2011-06-13
3665.TW,TW,貿聯-KY,tw100_moneydj_0051_20260531,2011-06-13
2337.TW,TW,旺宏,tw100_moneydj_0051_20260531,2011-06-13
6770.TW,TW,力積電,tw100_moneydj_0051_20260531,2020-12-09
2313.TW,TW,華通,tw100_moneydj_0051_20260531,2011-06-13
2379.TW,TW,瑞昱,tw100_moneydj_0051_20260531,2011-06-13
3034.TW,TW,聯詠,tw100_moneydj_0051_20260531,2011-06-13
6446.TW,TW,藥華藥,tw100_moneydj_0051_20260531,2014-03-11
6239.TW,TW,力成,tw100_moneydj_0051_20260531,2011-06-13
3036.TW,TW,文曄,tw100_moneydj_0051_20260531,2011-06-13
3189.TW,TW,景碩,tw100_moneydj_0051_20260531,2011-06-13
3044.TW,TW,健鼎,tw100_moneydj_0051_20260531,2011-06-13
3533.TW,TW,嘉澤,tw100_moneydj_0051_20260531,2011-06-13
6515.TW,TW,穎崴,tw100_moneydj_0051_20260531,2019-11-19
2376.TW,TW,技嘉,tw100_moneydj_0051_20260531,2011-06-13
6415.TW,TW,矽力-KY,tw100_moneydj_0051_20260531,2013-12-12
1590.TW,TW,亞德客-KY,tw100_moneydj_0051_20260531,2011-06-13
2404.TW,TW,漢唐,tw100_moneydj_0051_20260531,2011-06-13
2356.TW,TW,英業達,tw100_moneydj_0051_20260531,2011-06-13
8046.TW,TW,南電,tw100_moneydj_0051_20260531,2011-06-13
3702.TW,TW,大聯大,tw100_moneydj_0051_20260531,2011-06-13
4938.TW,TW,和碩,tw100_moneydj_0051_20260531,2011-06-13
1326.TW,TW,台化,tw100_moneydj_0051_20260531,2011-06-13
5871.TW,TW,中租-KY,tw100_moneydj_0051_20260531,2011-12-13
1101.TW,TW,台泥,tw100_moneydj_0051_20260531,2011-06-13
2324.TW,TW,仁寶,tw100_moneydj_0051_20260531,2011-06-13
5876.TW,TW,上海商銀,tw100_moneydj_0051_20260531,2014-09-25
2801.TW,TW,彰銀,tw100_moneydj_0051_20260531,2011-06-13
2409.TW,TW,友達,tw100_moneydj_0051_20260531,2011-06-13
1519.TW,TW,華城,tw100_moneydj_0051_20260531,2011-06-13
6139.TW,TW,亞翔,tw100_moneydj_0051_20260531,2011-06-13
6531.TW,TW,愛普,tw100_moneydj_0051_20260531,2015-06-12
1605.TW,TW,華新,tw100_moneydj_0051_20260531,2011-06-13
2049.TW,TW,上銀,tw100_moneydj_0051_20260531,2011-06-13
2834.TW,TW,臺企銀,tw100_moneydj_0051_20260531,2011-06-13
2615.TW,TW,萬海,tw100_moneydj_0051_20260531,2011-06-13
2912.TW,TW,統一超,tw100_moneydj_0051_20260531,2011-06-13
6285.TW,TW,啟碁,tw100_moneydj_0051_20260531,2011-06-13
2347.TW,TW,聯強,tw100_moneydj_0051_20260531,2011-06-13
1504.TW,TW,東元,tw100_moneydj_0051_20260531,2011-06-13
2353.TW,TW,宏碁,tw100_moneydj_0051_20260531,2011-06-13
6805.TW,TW,富世達,tw100_moneydj_0051_20260531,2020-11-20
2618.TW,TW,長榮航,tw100_moneydj_0051_20260531,2011-06-13
2474.TW,TW,可成,tw100_moneydj_0051_20260531,2011-06-13
6442.TW,TW,光聖,tw100_moneydj_0051_20260531,2014-03-17
7750.TW,TW,新代,tw100_moneydj_0051_20260531,2024-06-18
2609.TW,TW,陽明,tw100_moneydj_0051_20260531,2011-06-13
2377.TW,TW,微星,tw100_moneydj_0051_20260531,2011-06-13
8210.TW,TW,勤誠,tw100_moneydj_0051_20260531,2011-06-13
8996.TW,TW,高力,tw100_moneydj_0051_20260531,2011-06-13
2027.TW,TW,大成鋼,tw100_moneydj_0051_20260531,2011-06-13
